Country,Other_names,ISO_3166-1_alpha-3_CODE,Population,Continent,Total_Cases,Total_Deaths,Tot Cases_1M_pop,Tot Deaths/1M_pop,Death_percentage,Cases_Per_100K,Deaths_Per_100K,Recovery_Rate,Case_Fatality_Rate,Cluster
Uzbekistan,Uzbekistan,UZB,34318156,Asia,237853,1637,6931,48,0.688240216,693.0821108220383,4.770069813774376,99.311759784,0.6882402155953468,0
Vanuatu,Vanuatu,VUT,319701,Oceania,4107,2,12846,6,0.048697346,1284.637833475654,0.6255845305457287,99.951302654,0.048697345994643294,0
Vatican City,Holy See,VAT,805,Europe,29,0,36025,0,0.0,3602.484472049689,0.0,100.0,0.0,0
Venezuela,Venezuela (Bolivarian Republic of),VEN,28294895,Latin America and the Caribbean,520843,5686,18408,201,1.091691738,1840.76668247046,20.095497792092885,98.908308262,1.091691738201339,0
Vietnam,Viet Nam,VNM,98871712,Asia,9818328,42600,99304,431,0.433882429,9930.3711864522,43.08613569875274,99.566117571,0.4338824288616147,0
Wallis and Futuna,Wallis and Futuna Islands,WLF,10894,Oceania,454,7,41674,643,1.54185022,4167.431613732329,64.2555535156967,98.45814978,1.5418502202643172,0
Western Sahara,Western Sahara,ESHÃ‚Â ,623031,Africa,10,1,16,2,10.0,1.6050565702188175,0.16050565702188174,90.0,10.0,3
Yemen,Yemen,YEM,30975258,Asia,11806,2143,381,69,18.15178723,38.114291090004805,6.91842502167375,81.84821277,18.15178722683381,3
Zambia,Zambia,ZMB,19284482,Africa,317076,3967,16442,206,1.251119605,1644.202836249374,20.570944036764896,98.748880395,1.2511196053942903,0
Zimbabwe,Zimbabwe,ZWE,15241601,Africa,246525,5446,16174,357,2.209106581,1617.4481932705103,35.731154489610375,97.790893419,2.209106581482608,0
