Country,Other_names,ISO_3166-1_alpha-3_CODE,Population,Continent,Total_Cases,Total_Deaths,Tot Cases_1M_pop,Tot Deaths/1M_pop,Death_percentage,Cases_Per_100K,Deaths_Per_100K,Recovery_Rate,Case_Fatality_Rate,Cluster
Iran,United Kingdom,IRN,85874667,Asia,7167646,140315,83466,1634,1.95761621,8346.6361505658,163.39510230648114,98.04238379,1.9576162103987838,0
Iraq,Iraq,IRQ,41801625,Asia,2320260,25173,55506,602,1.084921517,5550.6454593571425,60.220146944048224,98.915078483,1.0849215174161515,0
Ireland,Ireland,IRL,5034333,Europe,1471210,6786,292235,1348,0.461252982,29223.533683608137,134.79442063129315,99.538747018,0.4612529822391093,1
Isle of Man,Isle of Man,IMN,85821,Europe,28416,84,331108,979,0.295608108,33110.77708253225,97.8781417135666,99.704391892,0.2956081081081081,1
Israel,Israel,ISR,9326000,Asia,3943153,10530,422813,1129,0.267045179,42281.2888698263,112.91014368432339,99.732954821,0.2670451793273048,1
Italy,Italy,ITA,60306185,Europe,14846514,159784,246186,2650,1.076239176,24618.559439632932,264.9545813584461,98.923760824,1.0762391764154198,2
Ivory Coast,CÃƒÂ´te d'Ivoire,CIV,27520953,Africa,81761,796,2971,29,0.973569306,297.08636906578056,2.8923417005217806,99.026430694,0.9735693056591773,0
Jamaica,Jamaica,JAM,2983794,Latin America and the Caribbean,128811,2893,43170,970,2.245926202,4317.020544984003,96.95709556356772,97.754073798,2.245926201954802,0
Japan,Japan,JPN,125798669,Asia,6653841,28248,52893,225,0.424536745,5289.277742676276,22.454927563661265,99.575463255,0.4245367450169008,0
Jordan,Jordan,JOR,10380442,Asia,1689314,14003,162740,1349,0.828916353,16274.008370741823,134.89791667830715,99.171083647,0.8289163530285075,1
Kazakhstan,Kazakhstan,KAZ,19169833,Asia,1305188,13660,68086,713,1.046592522,6808.551748990198,71.25779342991669,98.953407478,1.0465925215371272,0
Kenya,Kenya,KEN,55843563,Africa,323454,5648,5792,101,1.746152467,579.2144745491973,10.113967835469237,98.253847533,1.746152466811355,0
Kiribati,Kiribati,KIR,122656,Oceania,3067,13,25005,106,0.423866971,2500.4891729715628,10.598747717192799,99.576133029,0.42386697098141507,0
Kuwait,Kuwait,KWT,4381108,Asia,629525,2554,143691,583,0.405702712,14369.081976522835,58.29575532034362,99.594297288,0.40570271236249555,0
Kyrgyzstan,Kyrgyzstan,KGZ,6712569,Asia,200968,2991,29939,446,1.488296644,2993.905909942974,44.55820118944029,98.511703356,1.4882966442418692,0
Laos,Lao People's Democratic Republic,LAO,7460338,Asia,183560,679,24605,91,0.369906298,2460.4783322149747,9.101464303628065,99.630093702,0.3699062976683373,0
Latvia,Latvia,LVA,1849698,Europe,802534,5643,433873,3051,0.703147779,43387.29889960415,305.07682875799185,99.296852221,0.7031477794087229,1
